Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views
2:05 PM,1,3,0,1,1,0,0,0,0
2:06 PM,4,1,0,1,1,0,0,0,0
2:07 PM,4,0,0,2,4,180,0,0,0
2:08 PM,5,1,0,2,4,0,0,0,0
2:09 PM,4,0,0,2,4,0,0,0,0
2:10 PM,4,1,0,1,2,0,0,0,0
2:11 PM,5,0,0,0,0,0,0,0,0
2:12 PM,4,2,0,0,0,0,0,0,0
2:13 PM,6,0,0,1,1,0,0,0,0
2:14 PM,6,0,0,2,3,0,0,0,0
2:15 PM,6,0,0,0,0,0,0,0,0
2:16 PM,6,0,0,0,0,0,0,0,0
2:17 PM,4,1,0,1,1,0,0,0,0
2:18 PM,7,0,0,1,1,0,0,0,0
2:19 PM,8,1,0,0,0,0,0,0,0
2:20 PM,9,1,0,1,1,0,0,0,0
2:21 PM,10,1,0,1,1,0,0,0,0
2:22 PM,11,1,0,1,3,0,0,0,0
2:23 PM,8,2,0,0,0,0,0,0,0
2:24 PM,8,1,0,1,1,0,0,0,0
2:25 PM,7,0,0,0,0,0,0,0,0
2:26 PM,10,1,0,0,0,0,0,0,0
2:27 PM,12,1,0,0,0,0,0,0,0
2:28 PM,11,3,0,2,4,0,0,0,0
2:29 PM,8,0,0,3,5,0,0,0,0
2:30 PM,10,1,0,2,3,0,0,0,0
2:31 PM,9,0,0,0,0,0,0,0,0
2:32 PM,10,0,0,0,0,0,0,0,0
2:33 PM,9,0,0,0,0,0,0,0,0
2:34 PM,8,1,0,0,0,0,0,0,0
2:35 PM,8,0,0,0,0,0,0,0,0
2:36 PM,10,1,0,0,0,0,0,0,0
2:37 PM,10,1,0,1,2,0,0,0,0
2:38 PM,9,0,0,0,0,0,0,0,0
2:39 PM,9,0,0,0,0,0,0,0,0
2:40 PM,10,2,0,1,1,0,0,0,0
2:41 PM,8,2,0,1,1,0,0,0,0
2:42 PM,8,0,0,0,0,0,0,0,0
2:43 PM,11,1,0,0,0,0,0,0,0
2:44 PM,12,1,0,1,1,0,0,0,0
2:45 PM,13,0,0,1,2,0,0,0,0
2:46 PM,14,1,0,1,3,0,0,0,0
2:47 PM,15,2,0,1,1,0,0,0,0
2:48 PM,13,0,0,0,0,0,0,0,0
2:49 PM,13,0,0,2,2,0,0,0,0
2:50 PM,14,0,0,0,0,0,0,0,0
2:51 PM,12,1,0,2,4,0,0,0,0
2:52 PM,13,2,0,1,1,0,0,0,0
2:53 PM,15,2,0,2,2,0,0,0,0
2:54 PM,14,0,0,0,0,0,0,0,0
2:55 PM,12,0,0,0,0,0,0,0,0
2:56 PM,12,0,0,0,0,0,0,0,0
2:57 PM,13,1,0,0,0,0,0,0,0
2:58 PM,15,1,0,0,0,0,0,0,0
2:59 PM,11,0,0,1,1,0,0,0,0
