Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views
1:39 PM,0,4,0,2,2,0,0,0,0
1:40 PM,5,1,0,0,0,0,0,0,0
1:41 PM,4,0,0,0,0,180,0,0,0
1:42 PM,4,0,0,0,0,0,0,0,0
1:43 PM,6,2,0,3,3,0,0,0,0
1:44 PM,7,1,0,0,0,0,0,0,0
1:45 PM,6,1,0,1,1,0,0,0,0
1:46 PM,8,1,0,0,0,0,0,0,0
1:47 PM,8,0,0,1,1,0,0,0,0
1:48 PM,10,2,0,0,0,0,0,0,0
1:49 PM,10,1,0,0,0,0,0,0,0
1:50 PM,9,1,0,0,0,0,0,0,0
1:51 PM,10,1,0,0,0,0,0,0,0
1:52 PM,11,3,0,0,0,0,0,0,0
1:53 PM,14,3,0,1,1,0,0,0,0
1:54 PM,15,1,0,2,2,0,0,0,0
1:55 PM,16,3,0,0,0,0,0,0,0
1:56 PM,17,2,0,1,3,0,0,0,0
1:57 PM,18,1,0,2,2,0,0,0,0
1:58 PM,17,1,0,0,0,0,0,0,0
1:59 PM,16,0,0,1,1,0,0,0,0
2:00 PM,17,0,0,0,0,0,0,0,0
2:01 PM,16,0,0,0,0,0,0,0,0
2:02 PM,16,0,0,1,1,0,0,0,0
2:03 PM,16,1,0,1,1,0,0,0,0
2:04 PM,17,0,0,0,0,0,0,0,0
2:05 PM,17,0,0,0,0,0,0,0,0
2:06 PM,16,0,0,1,2,0,0,0,0
2:07 PM,17,2,0,0,0,0,0,0,0
2:08 PM,18,2,0,1,1,0,0,0,0
2:09 PM,20,0,0,0,0,0,0,0,0
2:10 PM,19,1,0,0,0,0,0,0,0
2:11 PM,19,0,0,0,0,0,0,0,0
2:12 PM,16,0,0,1,1,0,0,0,0
2:13 PM,18,2,0,1,2,0,0,0,0
2:14 PM,20,0,0,1,1,0,0,0,0
2:15 PM,18,0,0,0,0,0,0,0,0
2:16 PM,18,1,0,0,0,0,0,0,0
2:17 PM,20,1,0,0,0,0,0,0,0
2:18 PM,20,1,0,1,1,0,0,0,0
2:19 PM,20,1,0,0,0,0,0,0,0
2:20 PM,18,0,0,0,0,0,0,0,0
2:21 PM,19,0,1,1,1,0,0,0,0
2:22 PM,19,0,0,2,2,0,0,0,0
2:23 PM,21,2,0,3,4,0,0,0,0
2:24 PM,21,0,0,2,3,0,0,0,0
2:25 PM,20,0,0,2,6,0,0,0,0
2:26 PM,20,0,0,1,1,0,0,0,0
2:27 PM,20,0,0,0,0,0,0,0,0
2:28 PM,20,0,0,2,4,0,0,0,0
2:29 PM,21,0,0,0,0,0,0,0,0
2:30 PM,21,2,0,1,1,0,0,0,0
2:31 PM,22,0,0,1,2,0,0,0,0
2:32 PM,21,0,0,1,1,0,0,0,0
2:33 PM,23,3,0,1,1,0,0,0,0
2:34 PM,23,0,0,1,1,0,0,0,0
2:35 PM,22,1,0,0,0,0,0,0,0
2:36 PM,22,0,0,2,2,0,0,0,0
2:37 PM,22,0,0,0,0,0,0,0,0
2:38 PM,21,0,0,0,0,0,0,0,0
2:39 PM,21,0,0,0,0,0,0,0,0
2:40 PM,21,0,0,0,0,0,0,0,0
2:41 PM,21,0,0,0,0,0,0,0,0
2:42 PM,21,1,0,0,0,0,0,0,0
2:43 PM,20,0,0,0,0,0,0,0,0
2:44 PM,20,1,0,1,1,0,0,0,0
2:45 PM,20,0,0,0,0,0,0,0,0
2:46 PM,19,1,0,0,0,0,0,0,0
2:47 PM,21,1,0,2,2,0,0,0,0
2:48 PM,20,0,0,1,1,0,0,0,0
2:49 PM,20,0,0,0,0,0,0,0,0
2:50 PM,21,1,0,1,1,0,0,0,0
2:51 PM,22,0,0,1,2,0,0,0,0
2:52 PM,22,3,1,1,1,0,0,0,0
2:53 PM,21,0,0,2,3,0,0,0,0
2:54 PM,20,0,0,1,2,0,0,0,0
2:55 PM,20,0,0,1,2,0,0,0,0
2:56 PM,18,0,0,1,1,0,0,0,0
2:57 PM,19,1,0,0,0,0,0,0,0
2:58 PM,18,0,0,0,0,0,0,0,0
2:59 PM,18,0,0,1,2,0,0,0,0
3:00 PM,17,0,0,2,4,0,0,0,0
3:01 PM,19,2,0,1,1,0,0,0,0
3:02 PM,18,0,0,1,1,0,0,0,0
3:03 PM,18,1,0,1,1,0,0,0,0
3:04 PM,18,2,0,0,0,0,0,0,0
3:05 PM,17,1,0,0,0,0,0,0,0
3:06 PM,17,1,0,0,0,0,0,0,0
3:07 PM,17,1,0,0,0,0,0,0,0
3:08 PM,15,0,0,1,1,0,0,0,0
3:09 PM,13,0,0,0,0,0,0,0,0
3:10 PM,12,1,0,0,0,90,0,0,0
3:11 PM,14,1,0,0,0,0,0,0,0
3:12 PM,12,1,0,0,0,0,0,0,0
3:13 PM,12,1,0,0,0,0,0,0,0
3:14 PM,12,0,0,0,0,0,0,0,0
3:15 PM,15,3,0,0,0,0,0,0,0
3:16 PM,14,2,0,0,0,0,0,0,0
3:17 PM,15,0,0,0,0,0,0,0,0
3:18 PM,17,1,0,0,0,0,0,0,0
3:19 PM,16,0,0,0,0,0,0,0,0
3:20 PM,16,0,0,0,0,0,0,0,0
3:21 PM,16,0,0,0,0,0,0,0,0
3:22 PM,16,0,0,0,0,0,0,0,0
3:23 PM,16,0,0,0,0,0,0,0,0
3:24 PM,16,0,0,0,0,0,0,0,0
3:25 PM,16,0,0,0,0,0,0,0,0
3:26 PM,17,1,0,0,0,0,0,0,0
3:27 PM,17,0,0,0,0,0,0,0,0
3:28 PM,17,1,0,1,1,0,0,0,0
3:29 PM,19,2,0,1,1,0,0,0,0
3:30 PM,21,0,0,0,0,0,0,0,0
3:31 PM,18,2,0,2,3,0,0,0,0
3:32 PM,21,0,0,2,4,0,0,0,0
3:33 PM,19,1,0,1,1,0,0,0,0
3:34 PM,19,0,0,1,2,0,0,0,0
3:35 PM,19,0,0,2,6,0,0,0,0
3:36 PM,19,1,0,3,6,0,0,0,0
3:37 PM,20,1,0,2,8,0,0,0,0
3:38 PM,18,0,0,1,2,0,0,0,0
3:39 PM,19,0,0,1,2,0,0,0,0
3:40 PM,20,1,0,1,4,90,0,0,0
3:41 PM,19,0,0,0,0,0,0,0,0
3:42 PM,19,0,0,1,2,0,0,0,0
3:43 PM,19,0,0,0,0,0,0,0,0
3:44 PM,19,0,0,0,0,0,0,0,0
3:45 PM,19,2,0,1,2,0,0,0,0
3:46 PM,19,1,0,1,4,0,0,0,0
3:47 PM,19,1,0,2,7,0,0,0,0
3:48 PM,20,0,0,1,3,0,0,0,0
3:49 PM,18,0,0,1,3,0,0,0,0
3:50 PM,18,1,0,1,4,0,0,0,0
3:51 PM,20,1,0,1,1,0,0,0,0
3:52 PM,21,1,0,2,6,0,0,0,0
3:53 PM,20,0,0,2,6,0,0,0,0
3:54 PM,19,0,0,2,2,0,0,0,0
3:55 PM,19,0,0,0,0,0,0,0,0
3:56 PM,19,0,0,1,1,0,0,0,0
3:57 PM,19,0,0,0,0,0,0,0,0
3:58 PM,19,0,0,1,1,0,0,0,0
3:59 PM,20,2,0,0,0,0,0,0,0
4:00 PM,19,0,0,1,7,0,0,0,0
4:01 PM,19,1,0,1,2,0,0,0,0
4:02 PM,20,0,0,0,0,0,0,0,0
4:03 PM,18,0,0,1,2,0,0,0,0
4:04 PM,19,1,0,1,2,0,0,0,0
4:05 PM,18,0,0,0,0,0,0,0,0
4:06 PM,18,0,0,0,0,0,0,0,0
4:07 PM,19,0,0,0,0,0,0,0,0
4:08 PM,17,0,0,0,0,0,0,0,0
4:09 PM,18,1,0,0,0,0,0,0,0
4:10 PM,19,1,0,0,0,90,0,0,0
4:11 PM,13,0,0,0,0,0,0,0,0
4:12 PM,13,1,0,0,0,0,0,0,0
4:13 PM,18,0,0,0,0,0,0,0,0
4:14 PM,18,1,0,0,0,0,0,0,0
4:15 PM,18,1,0,0,0,0,0,0,0
4:16 PM,16,0,0,0,0,0,0,0,0
4:17 PM,16,0,0,0,0,0,0,0,0
4:18 PM,15,0,0,0,0,0,0,0,0
4:19 PM,15,0,0,0,0,0,0,0,0
4:20 PM,15,0,0,0,0,0,0,0,0
4:21 PM,16,0,0,0,0,0,0,0,0
4:22 PM,15,1,0,1,1,0,0,0,0
4:23 PM,16,0,0,1,1,0,0,0,0
4:24 PM,17,0,0,0,0,0,0,0,0
4:25 PM,17,0,0,1,1,0,0,0,0
4:26 PM,17,1,0,0,0,0,0,0,0
4:27 PM,18,0,0,0,0,0,0,0,0
4:28 PM,16,0,0,1,1,0,0,0,0
4:29 PM,15,0,0,0,0,0,0,0,0
4:30 PM,16,0,0,1,2,0,0,0,0
4:31 PM,17,1,0,1,1,0,0,0,0
4:32 PM,18,0,0,1,1,0,0,0,0
4:33 PM,17,0,0,1,2,0,0,0,0
4:34 PM,17,0,0,2,7,0,0,0,0
4:35 PM,17,0,0,2,4,0,0,0,0
4:36 PM,18,1,0,1,2,0,0,0,0
4:37 PM,19,0,0,1,1,0,0,0,0
4:38 PM,18,1,0,0,0,0,0,0,0
4:39 PM,19,0,0,0,0,0,0,0,0
4:40 PM,19,0,0,1,1,90,0,0,0
4:41 PM,18,0,0,0,0,0,0,0,0
4:42 PM,19,4,0,1,1,0,0,0,0
4:43 PM,22,0,0,1,2,0,0,0,0
4:44 PM,19,3,0,1,2,0,0,0,0
4:45 PM,21,0,0,1,3,0,0,0,0
4:46 PM,19,0,0,0,0,0,0,0,0
4:47 PM,19,0,0,0,0,0,0,0,0
4:48 PM,18,0,0,0,0,0,0,0,0
4:49 PM,18,0,0,1,1,0,0,0,0
4:50 PM,18,0,0,0,0,0,0,0,0
4:51 PM,18,0,0,0,0,0,0,0,0
4:52 PM,18,0,0,1,1,0,0,0,0
4:53 PM,19,2,0,0,0,0,0,0,0
4:54 PM,19,1,0,0,0,0,0,0,0
4:55 PM,19,0,0,0,0,0,0,0,0
4:56 PM,18,0,0,0,0,0,0,0,0
4:57 PM,17,1,0,1,1,0,0,0,0
4:58 PM,19,2,0,0,0,0,0,0,0
4:59 PM,19,0,0,0,0,0,0,0,0
5:00 PM,19,0,0,0,0,0,0,0,0
5:01 PM,20,1,0,1,1,0,0,0,0
5:02 PM,19,0,0,0,0,0,0,0,0
5:03 PM,17,0,0,0,0,0,0,0,0
5:04 PM,14,0,0,0,0,0,0,0,0
5:05 PM,15,1,0,1,1,0,0,0,0
5:06 PM,19,1,0,0,0,0,0,0,0
5:07 PM,18,0,0,0,0,0,0,0,0
5:08 PM,17,0,0,0,0,0,0,0,0
5:09 PM,14,0,0,0,0,0,0,0,0
5:10 PM,12,1,0,0,0,90,0,0,0
5:11 PM,12,2,0,0,0,0,0,0,0
5:12 PM,12,0,0,0,0,0,0,0,0
5:13 PM,15,1,0,0,0,0,0,0,0
5:14 PM,18,0,0,0,0,0,0,0,0
5:15 PM,15,0,0,0,0,0,0,0,0
5:16 PM,15,0,0,0,0,0,0,0,0
5:17 PM,17,1,0,0,0,0,0,0,0
5:18 PM,15,1,0,0,0,0,0,0,0
5:19 PM,15,0,0,1,1,0,0,0,0
5:20 PM,15,0,0,0,0,0,0,0,0
5:21 PM,17,1,0,0,0,0,0,0,0
5:22 PM,14,0,0,0,0,0,0,0,0
